,Lang 1,Lang 2,Lang Pair,Similarity
60,da,sl,"('da', 'sl')",5
61,et,no,"('et', 'no')",5
62,et,pl,"('et', 'pl')",5
63,et,sl,"('et', 'sl')",5
64,fi,no,"('fi', 'no')",5
65,fi,pl,"('fi', 'pl')",5
66,fi,sl,"('fi', 'sl')",5
67,hu,no,"('hu', 'no')",5
68,hu,pl,"('hu', 'pl')",5
69,hu,sl,"('hu', 'sl')",5
70,es,it,"('es', 'it')",5
71,lv,sv,"('lv', 'sv')",5
72,lt,sv,"('lt', 'sv')",5
73,pl,sv,"('pl', 'sv')",5
74,ru,sv,"('ru', 'sv')",5
75,es,it,"('es', 'it')",5
76,sl,sv,"('sl', 'sv')",5
77,ru,tr,"('ru', 'tr')",6
78,bg,tr,"('bg', 'tr')",6
79,da,tr,"('da', 'tr')",6
80,et,tr,"('et', 'tr')",6
81,fi,tr,"('fi', 'tr')",6
82,hu,tr,"('hu', 'tr')",6
83,lv,tr,"('lv', 'tr')",6
84,lt,tr,"('lt', 'tr')",6
85,no,tr,"('no', 'tr')",6
86,pl,tr,"('pl', 'tr')",6
87,ru,tr,"('ru', 'tr')",6
88,sl,tr,"('sl', 'tr')",6
89,sv,tr,"('sv', 'tr')",6
90,ru,tr,"('ru', 'tr')",6
91,bg,et,"('bg', 'et')",6
92,bg,fi,"('bg', 'fi')",6
93,bg,hu,"('bg', 'hu')",6
94,bg,tr,"('bg', 'tr')",6
95,da,et,"('da', 'et')",6
96,da,fi,"('da', 'fi')",6
97,da,hu,"('da', 'hu')",6
98,da,en,"('da', 'en')",6
99,da,tr,"('da', 'tr')",6
100,da,en,"('da', 'en')",6
101,et,sv,"('et', 'sv')",6
102,et,tr,"('et', 'tr')",6
103,fi,sv,"('fi', 'sv')",6
104,fi,tr,"('fi', 'tr')",6
105,hu,sv,"('hu', 'sv')",6
106,hu,tr,"('hu', 'tr')",6
107,en,no,"('en', 'no')",6
108,en,sv,"('en', 'sv')",6
109,lv,tr,"('lv', 'tr')",6
110,lt,tr,"('lt', 'tr')",6
111,no,tr,"('no', 'tr')",6
112,en,no,"('en', 'no')",6
113,pl,tr,"('pl', 'tr')",6
114,ru,tr,"('ru', 'tr')",6
115,sl,tr,"('sl', 'tr')",6
116,sv,tr,"('sv', 'tr')",6
117,en,sv,"('en', 'sv')",6
118,en,ru,"('en', 'ru')",8
119,it,ru,"('it', 'ru')",8
120,it,ru,"('it', 'ru')",8
121,en,ru,"('en', 'ru')",8
122,bg,en,"('bg', 'en')",8
123,bg,it,"('bg', 'it')",8
124,bg,it,"('bg', 'it')",8
125,bg,en,"('bg', 'en')",8
126,da,it,"('da', 'it')",8
127,da,it,"('da', 'it')",8
128,en,it,"('en', 'it')",8
129,en,lv,"('en', 'lv')",8
130,en,lt,"('en', 'lt')",8
131,en,pl,"('en', 'pl')",8
132,en,ru,"('en', 'ru')",8
133,en,it,"('en', 'it')",8
134,en,sl,"('en', 'sl')",8
135,it,lv,"('it', 'lv')",8
136,it,lt,"('it', 'lt')",8
137,it,no,"('it', 'no')",8
138,it,pl,"('it', 'pl')",8
139,it,ru,"('it', 'ru')",8
140,it,sl,"('it', 'sl')",8
141,it,sv,"('it', 'sv')",8
142,en,it,"('en', 'it')",8
143,it,lv,"('it', 'lv')",8
144,en,lv,"('en', 'lv')",8
145,it,lt,"('it', 'lt')",8
146,en,lt,"('en', 'lt')",8
147,it,no,"('it', 'no')",8
148,it,pl,"('it', 'pl')",8
149,en,pl,"('en', 'pl')",8
150,it,ru,"('it', 'ru')",8
151,en,ru,"('en', 'ru')",8
152,it,sl,"('it', 'sl')",8
153,it,sv,"('it', 'sv')",8
154,en,it,"('en', 'it')",8
155,en,sl,"('en', 'sl')",8
156,ca,ru,"('ca', 'ru')",9
157,bg,ca,"('bg', 'ca')",9
158,ca,da,"('ca', 'da')",9
159,ca,en,"('ca', 'en')",9
160,ca,lv,"('ca', 'lv')",9
161,ca,lt,"('ca', 'lt')",9
162,ca,no,"('ca', 'no')",9
163,ca,pl,"('ca', 'pl')",9
164,ca,ru,"('ca', 'ru')",9
165,ca,sl,"('ca', 'sl')",9
166,ca,sv,"('ca', 'sv')",9
167,ca,en,"('ca', 'en')",9
168,en,tr,"('en', 'tr')",9
169,it,tr,"('it', 'tr')",9
170,it,tr,"('it', 'tr')",9
171,en,tr,"('en', 'tr')",9
172,en,et,"('en', 'et')",9
173,et,it,"('et', 'it')",9
174,et,it,"('et', 'it')",9
175,en,et,"('en', 'et')",9
176,en,fi,"('en', 'fi')",9
177,fi,it,"('fi', 'it')",9
178,fi,it,"('fi', 'it')",9
179,en,fi,"('en', 'fi')",9
180,en,hu,"('en', 'hu')",9
181,hu,it,"('hu', 'it')",9
182,hu,it,"('hu', 'it')",9
183,en,hu,"('en', 'hu')",9
184,en,tr,"('en', 'tr')",9
185,it,tr,"('it', 'tr')",9
186,it,tr,"('it', 'tr')",9
187,en,tr,"('en', 'tr')",9
188,ca,tr,"('ca', 'tr')",10
189,ca,et,"('ca', 'et')",10
190,ca,fi,"('ca', 'fi')",10
191,ca,hu,"('ca', 'hu')",10
192,ca,tr,"('ca', 'tr')",10
193,pt,ru,"('pt', 'ru')",10
194,bg,pt,"('bg', 'pt')",10
195,da,pt,"('da', 'pt')",10
196,en,pt,"('en', 'pt')",10
197,lv,pt,"('lv', 'pt')",10
198,lt,pt,"('lt', 'pt')",10
199,no,pt,"('no', 'pt')",10
200,pl,pt,"('pl', 'pt')",10
201,pt,ru,"('pt', 'ru')",10
202,pt,sl,"('pt', 'sl')",10
203,pt,sv,"('pt', 'sv')",10
204,en,pt,"('en', 'pt')",10
205,pt,tr,"('pt', 'tr')",11
206,es,ru,"('es', 'ru')",11
207,bg,es,"('bg', 'es')",11
208,da,es,"('da', 'es')",11
209,et,pt,"('et', 'pt')",11
210,fi,pt,"('fi', 'pt')",11
211,hu,pt,"('hu', 'pt')",11
212,en,es,"('en', 'es')",11
213,es,lv,"('es', 'lv')",11
214,es,lt,"('es', 'lt')",11
215,es,no,"('es', 'no')",11
216,es,pl,"('es', 'pl')",11
217,pt,tr,"('pt', 'tr')",11
218,es,ru,"('es', 'ru')",11
219,es,sl,"('es', 'sl')",11
220,es,sv,"('es', 'sv')",11
221,en,es,"('en', 'es')",11
222,es,tr,"('es', 'tr')",12
223,es,et,"('es', 'et')",12
224,es,fi,"('es', 'fi')",12
225,es,hu,"('es', 'hu')",12
226,es,tr,"('es', 'tr')",12
